epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,14474.2,0.91544,0.8325,1.23905,0.8984,0.83684,0.88983,0.71788,0.72745,0.54691,1.09804,0.002971,0.002971,0.002971
73,14672.2,0.91556,0.83266,1.23963,0.89848,0.8361,0.8899,0.71853,0.72706,0.54573,1.09771,0.002872,0.002872,0.002872
74,14875.6,0.91637,0.83909,1.2436,0.89949,0.83641,0.8901,0.71854,0.72705,0.54565,1.09754,0.002773,0.002773,0.002773
75,15069,0.9061,0.81971,1.23369,0.89963,0.83657,0.89019,0.71883,0.72645,0.54503,1.09689,0.002674,0.002674,0.002674
76,15273.3,0.91003,0.82379,1.2366,0.90236,0.83685,0.89043,0.71871,0.7256,0.54471,1.09592,0.002575,0.002575,0.002575
77,15469.2,0.89491,0.80728,1.22757,0.89928,0.83911,0.89056,0.7189,0.72473,0.54399,1.0949,0.002476,0.002476,0.002476
78,15663.6,0.90016,0.80671,1.22771,0.90005,0.83967,0.89089,0.7196,0.72392,0.54353,1.09431,0.002377,0.002377,0.002377
79,15857.9,0.89449,0.80255,1.2249,0.90373,0.83703,0.89106,0.7198,0.72332,0.54271,1.09387,0.002278,0.002278,0.002278
80,16054.4,0.88911,0.79964,1.22237,0.90451,0.83664,0.89073,0.71982,0.72284,0.54159,1.09337,0.002179,0.002179,0.002179
81,16254.7,0.8907,0.78305,1.22323,0.90407,0.83664,0.8909,0.72031,0.72239,0.54124,1.09271,0.00208,0.00208,0.00208
82,16458.8,0.8885,0.77941,1.22028,0.89851,0.84125,0.89115,0.72046,0.72188,0.54001,1.0921,0.001981,0.001981,0.001981
83,16663.8,0.88563,0.77822,1.2213,0.89539,0.84388,0.89138,0.72037,0.72126,0.53966,1.09152,0.001882,0.001882,0.001882
84,16870.3,0.88237,0.76222,1.21605,0.89731,0.84178,0.89182,0.72107,0.72056,0.53873,1.0909,0.001783,0.001783,0.001783
85,17073.1,0.87239,0.76441,1.21068,0.89382,0.84518,0.89201,0.72105,0.72029,0.53798,1.09067,0.001684,0.001684,0.001684
86,17278.2,0.87262,0.76081,1.21429,0.89332,0.84586,0.89196,0.72082,0.71991,0.53748,1.09029,0.001585,0.001585,0.001585
87,17474.5,0.87318,0.75926,1.21184,0.88456,0.8537,0.8923,0.72126,0.71937,0.53701,1.08982,0.001486,0.001486,0.001486
88,17674.7,0.86413,0.74998,1.20704,0.88267,0.85427,0.89225,0.722,0.71887,0.53669,1.08946,0.001387,0.001387,0.001387
89,17868.5,0.85776,0.74146,1.20377,0.87784,0.8594,0.89243,0.72189,0.71828,0.53618,1.08892,0.001288,0.001288,0.001288
90,18069.6,0.85819,0.74101,1.20344,0.87691,0.86178,0.8925,0.72181,0.71773,0.53529,1.08857,0.001189,0.001189,0.001189
91,18300.6,0.7673,0.54306,1.16677,0.87734,0.86105,0.89275,0.72269,0.71713,0.53499,1.08811,0.00109,0.00109,0.00109
92,18492.9,0.7566,0.52622,1.15799,0.87923,0.85848,0.89275,0.72292,0.71648,0.53419,1.08767,0.000991,0.000991,0.000991
93,18686.8,0.75183,0.52181,1.15182,0.88062,0.85799,0.89271,0.72295,0.71594,0.53368,1.08729,0.000892,0.000892,0.000892
94,18879.8,0.74436,0.50958,1.14497,0.88498,0.85484,0.89285,0.72303,0.71532,0.53257,1.0869,0.000793,0.000793,0.000793
95,19073,0.7413,0.50412,1.14137,0.88405,0.85517,0.89284,0.72313,0.7149,0.5319,1.08672,0.000694,0.000694,0.000694
96,19265.4,0.73142,0.4939,1.13658,0.88415,0.85508,0.89288,0.72325,0.71427,0.53141,1.08629,0.000595,0.000595,0.000595
97,19470.6,0.72867,0.48799,1.13727,0.88514,0.85473,0.89309,0.72423,0.71366,0.53024,1.08582,0.000496,0.000496,0.000496
98,19672.9,0.72106,0.48046,1.12799,0.88443,0.85439,0.89319,0.7244,0.71297,0.52952,1.0853,0.000397,0.000397,0.000397
99,19867.8,0.71713,0.48307,1.12609,0.90229,0.83925,0.89328,0.72423,0.7126,0.52871,1.08501,0.000298,0.000298,0.000298
100,20077.8,0.71489,0.47594,1.12513,0.88739,0.85182,0.8934,0.72461,0.71209,0.52812,1.08448,0.000199,0.000199,0.000199
